begin at: Thu May 17 09:09:42 2018
1526537382.807719230652,1526537382.857156515121,0.049437284470
2018-05-23 20:52:47.823983,2018-05-23 20:52:47.828998,0:00:00.005015
2018-05-23 20:52:53.004664,2018-05-23 20:52:53.006648,0:00:00.001984
2018-05-23 20:52:58.091066,2018-05-23 20:52:58.088194,-1 day, 23:59:59.997128
2018-05-23 20:53:03.197817,2018-05-23 20:53:03.199826,0:00:00.002009
2018-05-23 20:53:08.321983,2018-05-23 20:53:08.326781,0:00:00.004798
2018-05-23 20:53:13.437192,2018-05-23 20:53:13.441251,0:00:00.004059
2018-05-23 20:53:18.530737,2018-05-23 20:53:18.538864,0:00:00.008127
2018-05-23 20:53:23.672445,2018-05-23 20:53:23.671379,-1 day, 23:59:59.998934
2018-05-23 20:53:28.754171,2018-05-23 20:53:28.758707,0:00:00.004536
2018-05-23 20:53:33.874394,2018-05-23 20:53:33.876690,0:00:00.002296
2018-05-23 20:53:38.978086,2018-05-23 20:53:38.969443,-1 day, 23:59:59.991357
2018-05-23 20:53:44.086194,2018-05-23 20:53:44.091080,0:00:00.004886
2018-05-23 20:53:49.170155,2018-05-23 20:53:49.174147,0:00:00.003992
2018-05-23 20:53:54.271788,2018-05-23 20:53:54.272843,0:00:00.001055
2018-05-23 20:53:59.383864,2018-05-23 20:53:59.390349,0:00:00.006485
2018-05-23 20:54:04.469918,2018-05-23 20:54:04.472197,0:00:00.002279
2018-05-23 20:54:09.589750,2018-05-23 20:54:09.597469,0:00:00.007719
2018-05-23 20:54:14.688637,2018-05-23 20:54:14.693658,0:00:00.005021
